Time_history,T_aero_1,T_aero_2,T_aero_3,F_aero_1,F_aero_2,F_aero_3,Cdrag_1,Cdrag_2,Cdrag_3,Cdrag_4,Cdrag_5,Cdrag_6,Cdrag_7,Cdrag_8,Cdrag_9,Cdrag_10,Cdrag_11,Cdrag_12,Cdrag_13,Cdrag_14,Cdrag_15,Cdrag_16,Cdrag_17,Cdrag_18,Cdrag_19,Cdrag_20,Cdrag_21,Cdrag_22,Cdrag_23,Cdrag_24,Cdrag_25,Cdrag_26,Cdrag_27,Cdrag_28,Cdrag_29,Cdrag_30,Cdrag_31,Cdrag_32,Cdrag_33,Cdrag_34,Cdrag_35,Clift_1,Clift_2,Clift_3,Clift_4,Clift_5,Clift_6,Clift_7,Clift_8,Clift_9,Clift_10,Clift_11,Clift_12,Clift_13,Clift_14,Clift_15,Clift_16,Clift_17,Clift_18,Clift_19,Clift_20,Clift_21,Clift_22,Clift_23,Clift_24,Clift_25,Clift_26,Clift_27,Clift_28,Clift_29,Clift_30,Clift_31,Clift_32,Clift_33,Clift_34,Clift_35
0.0483436685448369,-3.88326633384734e-10,-4.35417306673364e-06,6.04579939011503e-06,6.28421474695697e-10,-1.18510759793585e-05,-8.53593936781208e-06,2.63474914406523e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.34265239284755e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0966873831938328,-3.88326626324243e-10,-4.35417273704858e-06,6.04579903248499e-06,1.25236678598551e-09,-1.18510758891984e-05,-8.53593933241926e-06,2.63481778483681e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.34264583608238e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.193374812491825,-3.88326597938068e-10,-4.35417205045897e-06,6.04579823777894e-06,2.48682709255338e-09,-1.18510755400051e-05,-8.53593919511443e-06,2.63508461728677e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.34262035322709e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.386749671087808,-3.88326483695763e-10,-4.35417057582001e-06,6.0457963560592e-06,4.90202630204147e-09,-1.18510742160627e-05,-8.53593866897171e-06,2.63610275776303e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.34252313167361e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.773499388279776,-3.8832602316342e-10,-4.35416727882505e-06,6.04579162005881e-06,9.51753814138954e-09,-1.18510694514561e-05,-8.53593672450392e-06,2.63981658530057e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.34216853244572e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.54699882266371,-3.88324174298067e-10,-4.35415973930246e-06,6.04577971684468e-06,1.78890099730739e-08,-1.18510543152707e-05,-8.5359301399372e-06,2.6520229905533e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.34100318580488e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.54699882266371,-3.88320042560121e-10,-4.35475798605442e-06,6.04631662794875e-06,2.7178577434975e-08,-1.18516296558306e-05,-8.53657696007579e-06,2.67193035287207e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33910301127651e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.54699882266371,-3.88314256650637e-10,-4.3547542536196e-06,6.04630926045201e-06,3.43887670352771e-08,-1.1851617860891e-05,-8.53657184436774e-06,2.69029699436291e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33735062762979e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.54699882266371,-3.8830737954817e-10,-4.35475170823625e-06,6.04630795658789e-06,3.96827937349375e-08,-1.1851617232439e-05,-8.53656845267615e-06,2.70236811118296e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33620018393492e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.54699882266371,-3.88300215655147e-10,-4.35475164295151e-06,6.04631473265551e-06,4.30606117091865e-08,-1.18516317371739e-05,-8.53656933604892e-06,2.70545044486027e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33590892516374e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.54699882266371,-3.88293811030319e-10,-4.35475508981604e-06,6.04633005277346e-06,4.45222417947454e-08,-1.18516622940896e-05,-8.536576528089e-06,2.69891484143874e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33653694478056e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.54699882266371,-3.88289453221287e-10,-4.35476281983808e-06,6.04635282935872e-06,4.40677125425296e-08,-1.18517067753996e-05,-8.53659154485766e-06,2.68419591906586e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33794721567878e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.54699882266371,-3.88288671364289e-10,-4.35477534304574e-06,6.04638042313943e-06,4.16970459956999e-08,-1.18517600065593e-05,-8.53661538499916e-06,2.664791285705e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33980566670828e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.54699882266371,-3.88293236172459e-10,-4.35479290848766e-06,6.04640864323798e-06,3.74102727659326e-08,-1.18518137664312e-05,-8.53664852974833e-06,2.64626001981457e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3415813311967e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,-3.88297596268241e-10,-4.35480253148091e-06,6.04642014493113e-06,3.48377682217255e-08,-1.18518353737516e-05,-8.53666661587525e-06,2.64012730269681e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.34216987007402e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
