Time_history,State_history_1,State_history_2,State_history_3,State_history_4,State_history_5,State_history_6,State_history_7,State_history_8,State_history_9,State_history_10,State_history_11,State_history_12,State_history_13,ang_of_attack,sideslip,aoa_tot,vr_1,vr_2,vr_3
0.0241718112203389,6778099.99746175,131.071749981651,131.071749982019,-0.210017299503904,5422.50428617667,5422.50428620515,-6.76366655836982e-12,-1.34005560577519e-08,2.13475666298775e-08,1,-1.11929672833699e-09,-2.21755116444058e-06,3.53263859799956e-06,90.0021143542297,90.0023264088135,90.0015646838413,-0.20010365468615,4928.23737847906,5422.50428627718
0.0483436685448369,6778099.98984699,262.14374986116,262.143749862442,-0.42003499942227,5422.50427992036,5422.50427996566,-2.70570067959552e-11,-5.36023342330887e-08,8.5390442905102e-08,0.999999999999995,-2.23897437275419e-09,-4.43510752074581e-06,7.06528560581449e-06,90.0042211947394,90.0046445503337,90.0031238073125,-0.399496206840184,4928.23737261774,5422.50428027525
0.0966873831938328,6778099.9593879,524.287748921078,524.287748924706,-0.840070398140474,5422.50425522405,5422.504255268,-1.08264753790538e-10,-2.14409603257762e-07,3.41562204390076e-07,0.999999999999919,-4.48098113178728e-09,-8.87022309842169e-06,1.41305845461626e-05,90.0084123224541,90.0092560181277,90.0062253641652,-0.796146854641191,4928.23734973931,5422.50425667773
0.193374812491825,6778099.83755151,1048.57574149583,1048.57574149831,-1.68014118668582,5422.50415709665,5422.50415699793,-4.33645196018293e-10,-8.57639312609366e-07,1.36625030776699e-06,0.999999999998699,-8.98620640081947e-09,-1.77404655639502e-05,2.82612014944403e-05,90.0167043645023,90.0183796925223,90.0123617174427,-1.58091031148593,4928.23726077274,5422.50416400338
0.386749671087808,6778099.35020588,2097.15168247547,2097.15168238918,-3.36028269287669,5422.50376590269,5422.50376495883,-1.74395678046324e-09,-3.4305619272317e-06,5.46500896572202e-06,0.999999999979182,-1.81663506862536e-08,-3.54809945494851e-05,5.65225066717846e-05,90.0329275938554,90.0362299949556,90.0243673817563,-3.11628577369114,4928.23692111406,5422.50380384174
0.773499388279776,6778097.40082332,4194.30321183909,4194.30321072411,-6.72056513897444,5422.50220375824,5422.50219888482,-7.12583695550647e-09,-1.3722279174799e-05,2.18600855383674e-05,0.999999999666918,-3.78841843844401e-08,-7.09622194823715e-05,0.000113045363172709,90.0639306251769,90.0703424030789,90.0473105375225,-6.05043020334056,4928.23568068465,5422.50244017059
1.54699882266371,6778089.60329467,8388.60345285441,8388.60344223598,-13.4411255045575,5422.49596044457,5422.49593875491,-3.09034806977691e-08,-5.48893425077526e-05,8.74406557334373e-05,0.999999994670642,-8.8180122649994e-08,-0.000141925266966773,0.000226091762904197,90.1201629300253,90.1322143618674,90.0889241317751,-11.3722887990704,4928.23159183162,5422.49757176971
2.54699882266371,6778071.81791849,13811.09287495,13811.0928245848,-22.129623040536,5422.48172527601,5422.48166414529,-9.86086228162143e-08,-0.00014878789274357,0.000237023973286729,0.999999960840878,-1.91790182599596e-07,-0.000233673548406215,0.000372246645012479,90.1814516213296,90.1996496975903,90.1342796741784,-17.1726887668318,4928.22487999922,5422.48833393645
3.54699882266371,6778045.34405807,19233.5645864653,19233.5644469316,-30.818092119583,5422.46053928889,5422.46041875595,-2.34078380868157e-07,-0.000288565845088669,0.000459690385455205,0.999999852707146,-3.63719407793506e-07,-0.000325433232947617,0.000518413006602421,90.2298715370402,90.2529254336718,90.1701119724314,-21.7551787261872,4928.21860117903,5422.47749205939
4.54699882266371,6778010.18174746,24656.0116365954,24656.0113385107,-39.5065215723627,5422.43240251104,5422.4322026149,-4.78180991650947e-07,-0.000474221352122801,0.000755436678755532,0.999999602214213,-6.30784672391287e-07,-0.000417190881362344,0.000664574485732857,90.2654232954414,90.2920422532778,90.1964214210374,-25.119813213077,4928.21432140667,5422.46671032921
5.54699882266371,6777966.33103186,30078.4270745671,30078.4265285876,-48.1949002294587,5422.39731497876,5422.3970157586,-8.85184585511311e-07,-0.000705756356202808,0.00112426344678631,0.999999118968814,-1.01981170932413e-06,-0.000508949612345202,0.000810733703969715,90.2881066540002,90.3169999596035,90.2132077911807,-27.2665675002835,4928.21292748539,5422.4574499408
6.54699882266371,6777913.79196765,35500.8039496488,35500.8030464702,-56.8832169215492,5422.35527673746,5422.35485823272,-1.52277442671145e-06,-0.000983170985340977,0.00156616858716129,0.999998290242432,-1.55761887173365e-06,-0.000600708789919888,0.000956888893949863,90.2979217975713,90.3277988877851,90.220471204176,-28.1954606948749,4928.21462654286,5422.45096903767
7.54699882266371,6777852.56462239,40923.135311157,40923.1339215146,-65.5714604793997,5422.30628784153,5422.3057300919,-2.47203944775568e-06,-0.00130646521875382,0.00208114910484534,0.99999698097558,-2.27102311557458e-06,-0.000692468371016743,0.00110303883798709,90.2948689457811,90.3244394505715,90.2182118480346,-27.9065186010552,4928.21894625143,5422.44832265032
8.54699882266371,6777782.6490748,46345.414208468,46345.4121831368,-74.2596197338688,5422.25034835435,5422.24963139987,-3.82747482978927e-06,-0.00167563932484777,0.00266920147392895,0.999995033778205,-3.18683983687591e-06,-0.00078422838762567,0.00124918222039082,90.2789482684875,90.3069220061751,90.2064299090133,-26.3997645813945,4928.22473484778,5422.45036277095
9.54699882266371,6777704.04541475,51767.633691026,51767.6308608214,-82.9476835159274,5422.18745834826,5422.18656222935,-5.69697795985939e-06,-0.00209069351924558,0.00333032106012533,0.999992268934702,-4.33188211110123e-06,-0.000875988950637694,0.00139531757911629,90.2501600057204,90.2752469342903,90.1851256414763,-23.6752286111495,4928.23016118325,5422.45773831936
10,6777665.57858434,54223.8840763024,54223.8808204386,-86.8833522119222,5422.15668166817,5422.15569781887,-6.74519545486181e-06,-0.00229381302767144,0.00365385432570111,0.999990693818821,-4.9332418542021e-06,-0.000917556822532886,0.00146151399061035,90.2328841804843,90.2562388331361,90.1723410133508,-22.0402411543599,4928.23184953211,5422.4629628225
