Time_history,T_srp_1,T_srp_2,T_srp_3,F_srp_1,F_srp_2,F_srp_3,Euler_history_1,Euler_history_2,Euler_history_3,Sun_body_1,Sun_body_2,Sun_body_3
0.00604291822696547,-7.47059389180827e-11,-4.94036450051564e-08,-4.92213626038675e-07,-4.07787581104224e-11,9.64776151279922e-07,-7.914469602861e-08,-4.84394864404552e-11,-9.59733043645549e-08,1.52888915894386e-07,-0.173841498135407,0.903529935235724,0.391679447583053
0.01208588255809,-7.47059388871375e-11,-4.94036447493538e-08,-4.92213627503985e-07,-4.07787538942795e-11,9.64776154152049e-07,-7.91446956182983e-08,-1.93761985222813e-10,-3.83896160302922e-07,6.11560353807386e-07,-0.173841488883933,0.903529936588461,0.391679448568685
0.0241718112203389,-7.47059387337815e-11,-4.94036437119257e-08,-4.9221363344738e-07,-4.07787370753849e-11,9.64776165801594e-07,-7.91446939543165e-08,-7.75091876779604e-10,-1.53559061045876e-06,2.44625094154298e-06,-0.173841451978253,0.903529942075277,0.391679452291717
0.0483436685448369,-7.47059380614584e-11,-4.94036395337796e-08,-4.92213657385265e-07,-4.07786698911727e-11,9.64776212721837e-07,-7.91446872529217e-08,-3.10102909145581e-09,-6.14237504694642e-06,9.78502397859659e-06,-0.173841304555942,0.903529964174268,0.391679466744855
0.0966873831938328,-7.47059352542753e-11,-4.94036227643503e-08,-4.92213753465241e-07,-4.07784013374505e-11,9.64776401046595e-07,-7.9144660356443e-08,-1.2414618947511e-08,-2.45695307032496e-05,3.91401455081358e-05,-0.173840715267323,0.903530052873521,0.391679523679396
0.193374812491825,-7.47059237899853e-11,-4.94035555733389e-08,-4.92214138439037e-07,-4.07773274957272e-11,9.64777155627348e-07,-7.9144552589364e-08,-4.98263517323535e-08,-9.82782258460639e-05,0.000156560752829836,-0.173838358912307,0.90353040827428,0.391679749660854
0.386749671087808,-7.47058774666985e-11,-4.94032865893286e-08,-4.92215679592589e-07,-4.07730329903657e-11,9.64780176416948e-07,-7.9144121169341e-08,-2.01991094819964e-07,-0.000393113438480042,0.000626243898173799,-0.173828935072818,0.903531831037973,0.391680650061525
0.773499388279776,-7.47056913187737e-11,-4.94022103217246e-08,-4.9222184591915e-07,-4.0755858572623e-11,9.64792262931857e-07,-7.91423949595944e-08,-8.50934818629412e-07,-0.00157245734585604,0.00250498129439896,-0.173791242665152,0.903537523651939,0.391684244418668
1.54699882266371,-7.47049462627782e-11,-4.939790634163e-08,-4.92246501670483e-07,-4.06871984987386e-11,9.64840590263308e-07,-7.91354918728688e-08,-4.09126711296072e-06,-0.00628985500134549,0.0100199613151945,-0.173640476219402,0.903560284931616,0.391698604174941
2.54699882266371,-7.47032535377663e-11,-4.93881005447381e-08,-4.92302655113646e-07,-4.05308032297212e-11,9.64950655700685e-07,-7.91197645068991e-08,-1.53409360720054e-05,-0.0170498334993742,0.0271609494630081,-0.173296582246058,0.903612121589551,0.39173132156909
3.54699882266371,-7.47007547150071e-11,-4.9373534471763e-08,-4.92386017238088e-07,-4.02985367566714e-11,9.65114052424066e-07,-7.90964021969206e-08,-4.20240881890124e-05,-0.0330671947050614,0.052676654113788,-0.172784631182536,0.903689069809669,0.391779959076074
4.54699882266371,-7.46974759211741e-11,-4.93542452529752e-08,-4.9249631579703e-07,-3.99910378188309e-11,9.65330246805372e-07,-7.90654644797101e-08,-9.58472884041028e-05,-0.0543417091994373,0.086566730184439,-0.172104583207343,0.903790871946947,0.391844449015683
5.54699882266371,-7.46934520640637e-11,-4.93302821695034e-08,-4.92633190786477e-07,-3.96091498226947e-11,9.65598533204503e-07,-7.90270303750664e-08,-0.000192358152430685,-0.0808735627132066,0.128831296105796,-0.171256373443621,0.903917187435596,0.391924702989568
6.54699882266371,-7.46887270409199e-11,-4.93017073215648e-08,-4.92796191797905e-07,-3.91539286384922e-11,9.65918028780388e-07,-7.89811994575067e-08,-0.000350946877606504,-0.112662702682279,0.179470205250405,-0.170239928311141,0.904067590485283,0.392020609971915
7.54699882266371,-7.46833539597616e-11,-4.92685958045895e-08,-4.92984778469905e-07,-3.86266411001291e-11,9.66287674376227e-07,-7.89280921384733e-08,-0.000594844625402443,-0.149709015067432,0.238483273309885,-0.169055161222656,0.904241570670468,0.392132036864354
8.54699882266371,-7.46773954128077e-11,-4.92310360389078e-08,-4.9319832033815e-07,-3.80287652422395e-11,9.6670623422542e-07,-7.88678501948135e-08,-0.00095112384978022,-0.192012357723742,0.305870344588239,-0.167701971897985,0.904438532995461,0.392258828650863
9.54699882266371,-7.46709237933427e-11,-4.91891302136782e-08,-4.93436096304856e-07,-3.73619916671839e-11,9.67172294911664e-07,-7.88006374804637e-08,-0.00145069765243609,-0.239572501615233,0.381631254765213,-0.166180248039763,0.904657797638018,0.392400808274109
10,-7.46678451178164e-11,-4.91687473051714e-08,-4.93551569497924e-07,-3.70377723231056e-11,9.67398631975905e-07,-7.87679452953021e-08,-0.00173337500587831,-0.26284726255433,0.418706872811196,-0.165435406752551,0.904764261935088,0.392470070855949
